[2025-05-09 21:01:54.649] [info]  DiscordSplash.signalReady
[2025-05-09 21:01:54.698] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-09 21:01:54.701] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-09 21:01:54.704] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-09 21:01:54.704] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-09 21:01:54.707] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-09 21:01:54.707] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-09 21:01:54.707] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-09 21:01:54.708] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-09 21:01:54.708] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-09 21:01:54.710] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-09 21:01:54.721] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-09 21:01:54.721] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-09 21:01:54.725] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-09 21:01:54.728] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-09 21:01:55.578] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-09 21:01:55.580] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-09 21:01:55.649] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-09 21:01:56.609] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-09 21:01:56.609] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-09 21:01:56.649] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-09 21:01:56.650] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-09 21:01:56.651] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-09 21:01:56.725] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-05-09 21:01:56.726] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-05-09 21:01:56.758] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-09 21:01:56.759] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-09 21:01:56.856] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-05-09 21:01:56.857] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-05-09 21:01:56.890] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-05-09 21:01:56.891] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-05-09 21:01:57.021] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-05-09 21:01:57.022] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-05-09 21:01:57.038] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-05-09 21:01:57.040] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-05-09 21:01:57.090] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-05-09 21:01:57.091] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-05-09 21:01:57.114] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-05-09 21:01:57.115] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-05-09 21:01:57.117] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-05-09 21:01:57.119] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-05-09 21:01:57.121] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-05-09 21:01:57.122] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-05-09 21:01:57.129] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-05-09 21:01:57.129] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-05-09 21:01:57.192] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-05-09 21:01:57.192] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-05-09 21:01:57.215] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-05-09 21:01:57.216] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
